Date,Region,Representative,Product,Units,UnitPrice,Revenue
2026-04-02,West,Ethan,Tablet,1,450,450
2026-02-04,West,Charlie,Keyboard,2,80,160
2026-02-12,North,Diana,Laptop,3,1200,3600
2026-02-02,West,Ethan,Monitor,1,300,300
2026-02-04,South,Bob,Keyboard,2,80,160
2026-01-07,East,Alice,Mouse,2,30,60
2026-03-16,East,Diana,Mouse,2,30,60
2026-01-21,West,Ethan,Keyboard,9,80,720
2026-03-14,North,Ethan,Keyboard,5,80,400
2026-03-23,North,Charlie,Monitor,4,300,1200
2026-02-24,South,Alice,Mouse,1,30,30
2026-01-30,South,Ethan,Laptop,3,1200,3600
2026-03-27,North,Alice,Keyboard,9,80,720
2026-04-10,South,Ethan,Monitor,1,300,300
2026-03-17,North,Diana,Laptop,3,1200,3600
2026-03-24,South,Alice,Keyboard,4,80,320
2026-04-09,South,Bob,Mouse,5,30,150
2026-04-10,North,Diana,Keyboard,5,80,400
2026-02-22,South,Ethan,Laptop,7,1200,8400
2026-02-04,East,Bob,Tablet,5,450,2250
2026-03-17,South,Ethan,Monitor,2,300,600
2026-01-07,East,Alice,Tablet,1,450,450
2026-02-19,West,Ethan,Tablet,9,450,4050
2026-01-29,East,Charlie,Tablet,5,450,2250
2026-03-06,East,Ethan,Monitor,8,300,2400
2026-02-05,North,Diana,Laptop,4,1200,4800
2026-02-08,South,Diana,Monitor,6,300,1800
2026-02-08,East,Charlie,Tablet,3,450,1350
2026-04-02,North,Charlie,Mouse,2,30,60
2026-03-02,West,Bob,Keyboard,8,80,640
2026-03-18,South,Alice,Laptop,3,1200,3600
2026-01-25,East,Diana,Laptop,1,1200,1200
2026-02-27,East,Alice,Mouse,6,30,180
2026-03-21,North,Diana,Mouse,5,30,150
2026-02-05,South,Ethan,Keyboard,5,80,400
2026-01-18,South,Charlie,Keyboard,9,80,720
2026-02-23,North,Alice,Laptop,5,1200,6000
2026-03-17,West,Charlie,Laptop,8,1200,9600
2026-03-31,North,Diana,Tablet,4,450,1800
2026-02-10,West,Bob,Tablet,5,450,2250
2026-03-04,West,Diana,Monitor,6,300,1800
2026-03-25,North,Alice,Laptop,5,1200,6000
2026-01-06,West,Ethan,Mouse,3,30,90
2026-03-07,South,Bob,Mouse,9,30,270
2026-02-02,West,Bob,Tablet,5,450,2250
2026-01-26,East,Alice,Laptop,5,1200,6000
2026-03-18,East,Alice,Monitor,1,300,300
2026-01-01,East,Alice,Laptop,3,1200,3600
2026-03-10,West,Ethan,Keyboard,1,80,80
2026-01-23,East,Ethan,Monitor,5,300,1500
2026-01-17,North,Ethan,Mouse,3,30,90
2026-02-20,East,Ethan,Laptop,1,1200,1200
2026-02-01,North,Ethan,Keyboard,1,80,80
2026-02-23,West,Bob,Tablet,2,450,900
2026-02-23,South,Charlie,Tablet,1,450,450
2026-01-17,North,Diana,Monitor,9,300,2700
2026-02-07,North,Ethan,Tablet,3,450,1350
2026-03-23,East,Diana,Tablet,2,450,900
2026-02-07,South,Charlie,Tablet,4,450,1800
2026-02-20,West,Alice,Keyboard,7,80,560
2026-01-10,North,Alice,Mouse,4,30,120
2026-03-29,East,Alice,Laptop,4,1200,4800
2026-03-18,East,Ethan,Mouse,2,30,60
2026-01-23,South,Charlie,Monitor,3,300,900
2026-01-04,East,Charlie,Keyboard,8,80,640
2026-03-02,South,Alice,Monitor,2,300,600
2026-01-05,South,Bob,Monitor,5,300,1500
2026-01-21,West,Bob,Tablet,6,450,2700
2026-02-18,North,Alice,Laptop,2,1200,2400
2026-01-26,North,Bob,Monitor,9,300,2700
2026-02-25,South,Alice,Laptop,6,1200,7200
2026-01-26,South,Charlie,Mouse,1,30,30
2026-02-21,North,Diana,Laptop,3,1200,3600
2026-01-07,West,Bob,Tablet,8,450,3600
2026-02-07,South,Charlie,Monitor,2,300,600
2026-01-28,South,Charlie,Laptop,7,1200,8400
2026-03-27,South,Bob,Laptop,1,1200,1200
2026-01-17,East,Bob,Keyboard,9,80,720
2026-01-10,West,Ethan,Laptop,4,1200,4800
2026-04-10,North,Charlie,Mouse,2,30,60
2026-02-11,South,Bob,Laptop,3,1200,3600
2026-02-28,North,Alice,Keyboard,2,80,160
2026-02-02,North,Charlie,Mouse,9,30,270
2026-03-11,East,Ethan,Mouse,6,30,180
2026-02-24,East,Diana,Monitor,8,300,2400
2026-01-31,South,Alice,Monitor,3,300,900
2026-04-02,West,Ethan,Tablet,4,450,1800
2026-02-20,West,Charlie,Laptop,8,1200,9600
2026-01-26,East,Alice,Monitor,8,300,2400
2026-03-11,North,Charlie,Keyboard,5,80,400
2026-03-25,East,Bob,Keyboard,3,80,240
2026-03-31,West,Alice,Laptop,1,1200,1200
2026-03-18,East,Ethan,Monitor,4,300,1200
2026-02-19,South,Charlie,Laptop,6,1200,7200
2026-01-13,North,Bob,Tablet,2,450,900
2026-03-14,West,Bob,Laptop,5,1200,6000
2026-02-07,North,Alice,Monitor,8,300,2400
2026-03-03,East,Charlie,Laptop,5,1200,6000
2026-03-16,West,Diana,Tablet,5,450,2250
2026-02-04,East,Alice,Keyboard,3,80,240
2026-01-11,West,Alice,Keyboard,8,80,640
2026-03-26,North,Alice,Keyboard,3,80,240
2026-03-30,North,Ethan,Monitor,4,300,1200
2026-02-09,East,Ethan,Laptop,2,1200,2400
2026-03-04,North,Charlie,Laptop,7,1200,8400
2026-03-07,North,Alice,Laptop,1,1200,1200
2026-02-20,West,Ethan,Monitor,7,300,2100
2026-02-11,South,Charlie,Monitor,8,300,2400
